Source,Target,link_type
32561,32548,friends
32531,32521,friends
32531,32538,friends
32531,32458,friends
32531,32460,friends
32531,32562,friends
32531,32554,friends
32531,32563,friends
32531,32395,friends
32444,32557,friends
32444,32475,friends
32444,32500,friends
32444,32526,friends
32444,32447,friends
32444,32448,friends
32450,32536,friends
32450,32524,friends
32450,32511,friends
32450,32482,friends
32450,32506,friends
32450,32481,friends
32450,32450,friends
32450,32521,friends
32393,32396,friends
32393,32544,friends
32393,32405,friends
32393,32485,friends
32393,32443,friends
32494,32495,friends
32494,32395,friends
32494,32454,friends
32494,32512,friends
32494,32419,friends
32481,32482,friends
32481,32416,friends
32481,32506,friends
32481,32450,friends
32481,32536,friends
32481,32511,friends
32481,32524,friends
32516,32448,friends
32516,32541,friends
32516,32479,friends
32431,32551,friends
32431,32464,friends
32431,32425,friends
32431,32391,friends
32431,32525,friends
32431,32477,friends
32431,32507,friends
32431,32440,friends
32431,32470,friends
32431,32418,friends
32431,32393,friends
32431,32535,friends
32431,32443,friends
32431,32549,friends
32431,32485,friends
32431,32405,friends
32431,32514,friends
32431,32552,friends
32431,32466,friends
32431,32439,friends
32431,32478,friends
32474,32413,friends
32474,32408,friends
32474,32499,friends
32474,32529,friends
32474,32406,friends
32437,32523,friends
32437,32420,friends
32437,32540,friends
32437,32397,friends
32437,32432,friends
32437,32428,friends
32472,32471,friends
32472,32452,friends
32423,32488,friends
32423,32555,friends
32423,32434,friends
32423,32427,friends
32423,32543,friends
32423,32407,friends
32422,32504,friends
32422,32522,friends
32422,32545,friends
32422,32421,friends
32422,32436,friends
32422,32432,friends
32422,32465,friends
32452,32484,friends
32452,32452,friends
32452,32471,friends
32452,32472,friends
32537,32484,friends
32395,32454,friends
32395,32494,friends
32395,32475,friends
32395,32528,friends
32395,32415,friends
32457,32476,friends
32457,32483,friends
32457,32439,friends
32457,32490,friends
32505,32462,friends
32505,32558,friends
32505,32515,friends
32434,32488,friends
32434,32394,friends
32434,32519,friends
32434,32427,friends
32434,32423,friends
32434,32543,friends
32434,32407,friends
32434,32542,friends
32406,32518,friends
32406,32491,friends
32406,32443,friends
32406,32425,friends
32406,32408,friends
32406,32439,friends
32406,32551,friends
32406,32431,friends
32535,32418,friends
32535,32426,friends
32535,32396,friends
32535,32508,friends
32535,32401,friends
32497,32412,friends
32454,32495,friends
32454,32494,friends
32454,32479,friends
32454,32448,friends
32449,32520,friends
32449,32531,friends
32436,32422,friends
32436,32421,friends
32436,32521,friends
32436,32504,friends
32436,32432,friends
32436,32545,friends
32436,32522,friends
32550,32408,friends
32550,32477,friends
32490,32476,friends
32490,32457,friends
32490,32455,friends
32490,32510,friends
32490,32448,friends
32496,32416,friends
32496,32415,friends
32496,32498,friends
32496,32433,friends
32496,32543,friends
32496,32546,friends
32496,32480,friends
32502,32488,friends
32502,32434,friends
32502,32549,friends
32502,32423,friends
32502,32518,friends
32502,32427,friends
32502,32460,friends
32441,32489,friends
32441,32410,friends
32541,32447,friends
32541,32408,friends
32541,32413,friends
32541,32448,friends
32541,32405,friends
32541,32529,friends
32541,32487,friends
32541,32491,friends
32541,32516,friends
32541,32473,friends
32541,32499,friends
32541,32440,friends
32541,32495,friends
32541,32550,friends
32541,32444,friends
32541,32514,friends
32541,32477,friends
32518,32443,friends
32518,32491,friends
32518,32406,friends
32518,32405,friends
32518,32507,friends
32518,32396,friends
32518,32393,friends
32518,32459,friends
32518,32411,friends
32557,32444,friends
32557,32537,friends
32557,32526,friends
32432,32475,friends
32432,32422,friends
32432,32421,friends
32432,32397,friends
32432,32399,friends
32432,32420,friends
32440,32430,friends
32440,32409,friends
32440,32414,friends
32440,32499,friends
32440,32408,friends
32440,32517,friends
32440,32469,friends
32440,32513,friends
32440,32462,friends
32440,32540,friends
32440,32391,friends
32440,32420,friends
32440,32546,friends
32440,32519,friends
32440,32433,friends
32485,32393,friends
32485,32544,friends
32485,32405,friends
32485,32443,friends
32485,32525,friends
32485,32463,friends
32560,32484,friends
32560,32442,friends
32560,32483,friends
32446,32523,friends
32446,32420,friends
32446,32501,friends
32446,32437,friends
32446,32448,friends
32446,32490,friends
32446,32558,friends
32446,32409,friends
32446,32421,friends
32446,32476,friends
32446,32540,friends
32492,32529,friends
32492,32551,friends
32492,32425,friends
32492,32399,friends
32492,32507,friends
32492,32544,friends
32492,32393,friends
32492,32404,friends
32492,32500,friends
32403,32479,friends
32403,32457,friends
32403,32439,friends
32403,32412,friends
32403,32407,friends
32448,32473,friends
32448,32516,friends
32448,32541,friends
32448,32479,friends
32448,32413,friends
32448,32459,friends
32448,32405,friends
32564,32452,friends
32564,32547,friends
32564,32438,friends
32564,32442,friends
32443,32518,friends
32443,32491,friends
32443,32544,friends
32443,32405,friends
32443,32485,friends
32443,32393,friends
32443,32507,friends
32443,32413,friends
32443,32411,friends
32443,32396,friends
32443,32463,friends
32458,32460,friends
32458,32533,friends
32458,32531,friends
32458,32404,friends
32458,32459,friends
32458,32397,friends
32458,32554,friends
32392,32532,friends
32392,32554,friends
32392,32455,friends
32392,32551,friends
32392,32542,friends
32392,32486,friends
32532,32392,friends
32532,32554,friends
32532,32522,friends
32532,32565,friends
32532,32532,friends
32488,32394,friends
32488,32423,friends
32488,32543,friends
32488,32427,friends
32488,32407,friends
32488,32542,friends
32488,32433,friends
32488,32434,friends
32488,32498,friends
32488,32488,friends
32488,32559,friends
32488,32502,friends
32488,32460,friends
32405,32485,friends
32405,32443,friends
32405,32478,friends
32405,32463,friends
32405,32393,friends
32405,32413,friends
32405,32544,friends
32405,32491,friends
32405,32507,friends
32405,32518,friends
32405,32396,friends
32513,32517,friends
32513,32469,friends
32513,32546,friends
32513,32440,friends
32513,32462,friends
32513,32540,friends
32513,32409,friends
32547,32442,friends
32547,32438,friends
32547,32484,friends
32547,32564,friends
32407,32548,friends
32407,32563,friends
32522,32422,friends
32522,32432,friends
32522,32421,friends
32522,32436,friends
32522,32545,friends
32522,32504,friends
32522,32532,friends
32517,32513,friends
32517,32469,friends
32517,32546,friends
32517,32440,friends
32517,32462,friends
32517,32420,friends
32517,32446,friends
32517,32523,friends
32517,32474,friends
32517,32392,friends
32517,32490,friends
32526,32557,friends
32526,32444,friends
32526,32500,friends
32526,32537,friends
32549,32551,friends
32549,32431,friends
32549,32464,friends
32549,32440,friends
32549,32554,friends
32549,32425,friends
32549,32486,friends
32397,32475,friends
32397,32523,friends
32397,32528,friends
32397,32420,friends
32486,32519,friends
32486,32424,friends
32486,32451,friends
32417,32396,friends
32417,32508,friends
32417,32507,friends
32424,32394,friends
32424,32451,friends
32424,32434,friends
32424,32519,friends
32424,32486,friends
32425,32431,friends
32425,32551,friends
32425,32464,friends
32425,32529,friends
32425,32549,friends
32425,32525,friends
32425,32391,friends
32425,32406,friends
32425,32518,friends
32563,32407,friends
32563,32509,friends
32563,32539,friends
32563,32461,friends
32563,32548,friends
32563,32416,friends
32511,32536,friends
32511,32524,friends
32511,32450,friends
32511,32482,friends
32511,32506,friends
32511,32481,friends
32430,32418,friends
32430,32426,friends
32430,32535,friends
32430,32440,friends
32430,32519,friends
32504,32422,friends
32504,32421,friends
32504,32545,friends
32504,32465,friends
32504,32419,friends
32412,32497,friends
32412,32403,friends
32530,32429,friends
32530,32398,friends
32530,32520,friends
32453,32563,friends
32499,32408,friends
32499,32468,friends
32499,32440,friends
32499,32474,friends
32499,32489,friends
32499,32410,friends
32499,32534,friends
32499,32529,friends
32414,32463,friends
32414,32440,friends
32414,32546,friends
32414,32469,friends
32414,32513,friends
32414,32517,friends
32445,32498,friends
32445,32404,friends
32445,32487,friends
32445,32415,friends
32445,32421,friends
32439,32457,friends
32439,32503,friends
32439,32479,friends
32439,32418,friends
32439,32403,friends
32544,32443,friends
32544,32405,friends
32544,32485,friends
32544,32393,friends
32544,32491,friends
32544,32396,friends
32544,32477,friends
32544,32401,friends
32544,32508,friends
32544,32426,friends
32544,32463,friends
32544,32413,friends
32544,32518,friends
32544,32525,friends
32470,32477,friends
32470,32431,friends
32470,32514,friends
32470,32535,friends
32470,32555,friends
32470,32418,friends
32470,32478,friends
32470,32426,friends
32470,32508,friends
32470,32400,friends
32470,32466,friends
32470,32401,friends
32470,32396,friends
32470,32507,friends
32470,32459,friends
32465,32545,friends
32465,32504,friends
32465,32422,friends
32465,32421,friends
32465,32533,friends
32545,32465,friends
32545,32504,friends
32419,32504,friends
